2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;1
9;512;4
10;1024;27
11;2048;73
12;4096;348
13;8192;1188
14;16384;4474
15;32768;19129
16;65536;68095
