2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;0
9;512;0
10;1024;0
11;2048;0
12;4096;1
13;8192;2
14;16384;4
15;32768;18
16;65536;36
17;131072;47
18;262144;75
19;524288;151
20;1048576;288
21;2097152;589
22;4194304;1180
23;8388608;2311
24;16777216;4741
25;33554432;10188
26;67108864;16933
27;134217728;34548
