2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;0
9;512;1
10;1024;2
11;2048;5
12;4096;11
13;8192;25
14;16384;54
15;32768;116
16;65536;240
17;131072;543
18;262144;1620
19;524288;2705
20;1048576;5751
21;2097152;13472
22;4194304;28234
23;8388608;62137
