2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;1
9;512;2
10;1024;4
11;2048;10
12;4096;20
13;8192;42
14;16384;84
15;32768;171
16;65536;440
17;131072;717
18;262144;1482
19;524288;2995
20;1048576;7646
21;2097152;15640
22;4194304;35825
23;8388608;64269
