2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;3
9;512;1
10;1024;2
11;2048;9
12;4096;23
13;8192;37
14;16384;99
15;32768;154
16;65536;352
17;131072;645
18;262144;1409
19;524288;2983
20;1048576;6092
21;2097152;13153
22;4194304;26657
23;8388608;60455
