2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;0
9;512;2
10;1024;4
11;2048;9
12;4096;28
13;8192;40
14;16384;82
15;32768;170
16;65536;414
17;131072;735
18;262144;1452
19;524288;3145
20;1048576;6394
21;2097152;14656
22;4194304;32348
23;8388608;68782
