2^n;elements;time(ms)
1;2;0
2;4;0
3;8;0
4;16;0
5;32;0
6;64;0
7;128;0
8;256;1
9;512;2
10;1024;6
11;2048;11
12;4096;22
13;8192;45
14;16384;91
15;32768;292
16;65536;466
17;131072;870
18;262144;1747
19;524288;3637
20;1048576;7517
21;2097152;15436
22;4194304;31903
23;8388608;67279
